prefecture,population_worldpop,superficie_km2,densite_worldpop_moyenne,densite_calculee,agents_mobile_money,agents_mm_pour_10000_hab,agences_moov,agences_togocom,agences_telecom,agences_canal,agences_telecom_total,datacenters,antennes_opencellid,antennes_pour_10000_hab,score_population,score_deficit_mobile_money,score_deficit_antennes,score_priorite,rang_priorite,niveau_priorite
Tandjouare,146093,946.2047081016252,154.39855812897366,154.39893582130554,158,10.815028783035464,0,0,0,0,0,0,0,0.0,0.45861428520598907,0.8963178755327073,1.0,0.7419728642954786,12,Forte
Ogou,228841,2216.0074216256926,103.26731580967,103.26725342468356,430,18.790339143772314,0,1,1,0,1,0,0,0.0,0.5688038667946851,0.767885991719836,1.0,0.7346759434058086,13,Forte
Tone,415234,1237.7385960242543,335.4780210454854,335.47794448179525,1273,30.65741244695762,1,1,2,0,2,0,0,0.0,0.7150941133177767,0.5767823843697257,1.0,0.7167505990750009,14,Forte
Keran,115109,1701.1987100110566,67.66362674302789,67.6634653686352,133,11.554265956615032,0,2,2,0,2,0,0,0.0,0.4000891189443661,0.8844134331357402,1.0,0.7138010208320424,15,Forte
Amou,134810,1786.9451705465492,75.44150450878026,75.44159844522116,196,14.538980787775388,0,0,0,0,0,0,0,0.0,0.4388794108371854,0.8363485264335107,1.0,0.7100911749082786,16,Forte
Golfe,1325059,152.0291060834056,8715.822916666666,8715.824450569693,2633,19.870813299634207,5,13,18,0,18,1,26,0.1962176778543446,1.0,0.750486376536002,0.0,0.7001945506144008,17,Forte
Moyen-Mono,85000,587.6161252577414,144.6518540451895,144.65225909639074,79,9.294117647058824,0,1,1,0,1,0,0,0.0,0.3256380766898383,0.9208101489954551,1.0,0.6985792902741175,18,Forte
Lome Commune,850789,129.90623058251947,6549.252403846154,6549.254767726933,3377,39.69256772243177,9,11,20,0,20,2,5,0.0587689779722116,0.8912182581915625,0.43128309216867156,0.8076923076923077,0.6905390016825552,19,Forte
Vo,221830,744.3469216910079,298.0192447613504,298.0196378001355,559,25.199477077040974,0,0,0,0,0,0,0,0.0,0.5611639436048123,0.6646752549391579,1.0,0.6903356794175881,20,Forte
Bas-Mono,107422,369.63704319940217,290.61470992476853,290.6148124933755,180,16.756344138072276,0,2,2,0,2,0,0,0.0,0.38311954992714126,0.8006408060696429,1.0,0.6735041423987137,21,Forte
Kloto,170505,554.5449235755718,307.4674295774648,307.4683271837111,499,29.266003929503533,1,1,2,0,2,0,0,0.0,0.49655372339202447,0.5991891884898092,1.0,0.6382971647527336,22,Moyenne
Akébou,60550,1118.2023322078185,54.14977509469697,54.14941308559778,88,14.53344343517754,0,0,0,0,0,0,0,0.0,0.2423597535605868,0.8364376982140823,1.0,0.6315189807098678,23,Moyenne
Wawa,100944,1209.4787897878762,83.46084416725229,83.46074429110412,233,23.08210492946584,0,0,0,0,0,0,0,0.0,0.36784791875187806,0.69877274849687,1.0,0.6266482668994993,24,Moyenne
Lacs,167027,322.70032415269,517.5908933518006,517.5916709676713,544,32.569584558185205,0,0,0,0,0,0,0,0.0,0.4914935785358604,0.5459893675075325,1.0,0.6149931784173572,25,Moyenne
Doufelgou,81730,1322.4249475006986,61.80341846446701,61.80312928492816,184,22.513153064970027,0,1,1,0,1,0,0,0.0,0.31600599822504016,0.7079349699592197,1.0,0.6095763872737039,26,Moyenne
Kpélé,92506,1030.5790581302788,89.7616123038811,89.7611874316837,273,29.51159924761637,1,1,2,0,2,0,0,0.0,0.34641518982297237,0.5952341989114551,1.0,0.576659755493771,27,Moyenne
Agou,81301,1008.0988414515186,80.64752659574468,80.64784588278879,227,27.920935781847703,0,1,1,0,1,0,0,0.0,0.3147138322498531,0.6208497419035783,1.0,0.5742254296613727,28,Moyenne
Plaine de Mô,22564,1256.2857390457084,17.961031919026244,17.960882065842696,26,11.522779648998403,0,0,0,0,0,0,0,0.0,0.0,0.8849204787074615,1.0,0.5539681914829846,29,Moyenne
Binah,67228,447.0241549470338,150.390447778828,150.39008352460414,194,28.857023859106324,0,0,0,0,0,0,0,0.0,0.2680468443377396,0.605775274611501,1.0,0.5495288475796962,30,Moyenne
Bassar,113148,3271.345244064317,34.5876277820911,34.58760588027236,427,37.73818361791636,1,2,3,0,3,0,0,0.0,0.3958702513541651,0.4627558776633358,1.0,0.5434504516070005,31,Moyenne
Cinkassé,82572,242.81247690733684,340.06627933213,340.06489720670936,410,49.65363561497844,1,1,2,0,2,0,0,0.0,0.31852253501368144,0.2708731950785376,1.0,0.43575829203688765,32,Moyenne
Tchaoudjo,217307,2388.99814609859,90.96158439490446,90.96156075084376,1406,64.70109108312204,1,3,4,0,4,0,0,0.0,0.556105982750142,0.028553715967329807,1.0,0.43386387948698873,33,Moyenne
Kozah,236934,1073.7255957183818,220.66486899133176,220.6653179777074,1575,66.47420800729317,1,1,2,0,2,0,0,0.0,0.5773370434792001,0.0,1.0,0.43093481739168005,34,Moyenne
Assoli,52483,989.6563342836248,53.0315170940171,53.03154052764233,231,44.01425223405675,0,1,1,0,1,0,0,0.0,0.2072543793763271,0.36168804721525816,1.0,0.42757697063663413,35,Moyenne
Sotouboua,70868,3186.2841969284923,22.241580623171057,22.24158161042734,361,50.93977535700175,1,2,3,0,3,0,0,0.0,0.2809932773038562,0.250161606131748,1.0,0.4124619533742417,36,Moyenne
Danyi,31648,363.6372110349772,87.0321556645199,87.03179718578325,132,41.70879676440849,0,0,0,0,0,0,0,0.0,0.08306458467503407,0.3988143752979004,1.0,0.3927515839891738,37,Moyenne
